k,inertia,silhouette_score
3,853.8604544206731,0.28286153376717005
4,677.2123730276154,0.28334199886531614
5,563.1968417003502,0.27745199899850115
6,486.57792358384177,0.25849170985529774
7,424.8758126692715,0.2670614915082551
8,388.7071064895955,0.27246554569454234
9,362.7425910601503,0.258554888007751
10,339.81787542808684,0.23310184157994612
